,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Juventus,83,33,76,43,26,5,7
Inter,82,45,81,36,24,10,4
Atalanta,78,50,98,48,23,9,6
Lazio,78,37,79,42,24,6,8
AS Roma,70,26,77,51,21,7,10
AC Milan,66,17,63,46,19,9,10
Napoli,62,11,61,50,18,8,12
Sassuolo,51,6,69,63,14,9,15
Parma,49,-1,56,57,14,7,17
Verona,49,-4,47,51,12,13,13
Fiorentina,49,3,51,48,12,13,13
Bologna,47,-13,52,65,12,11,15
Udinese,45,-14,37,51,12,9,17
Cagliari,45,-4,52,56,11,12,15
Sampdoria,42,-17,48,65,12,6,20
Torino,40,-22,46,68,11,7,20
Genoa,39,-26,47,73,10,9,19
Lecce,35,-33,52,85,9,8,21
Brescia,25,-44,35,79,6,7,25
Spal,20,-50,27,77,5,5,28
